Buchungsdatum;Wertstellung;Betrag;Verwendungszweck;Auftraggeber;IBAN;BIC;Kundenreferenz;Mandatsreferenz;Bankreferenz
15.01.2026;16.01.2026;5000,00;Zahlung RE-2026-001 Sammelzahlung;Diverse Kunden;DE12345678901234567890;COBADEFFXXX;RE-2026-001;;TRX20260115001
22.01.2026;22.01.2026;-1500,00;Lohnzahlung Januar KW4;Mitarbeiter;;DEUTDEFF;LN-2026-004;;TRX20260122001
29.01.2026;01.02.2026;-800,00;Miete Februar Buerogebaeude;Immobilien GmbH;DE98765432109876543210;GENODEF1XXX;MI-2026-02;SEPA-12345;TRX20260129001
05.02.2026;06.02.2026;3200,00;Restzahlung Rechnung 2025-089;Meier AG;DE11223344556677889900;DRESDEFF;RE-2025-089;;TRX20260205001
12.02.2026;12.02.2026;-450,00;Versicherungsbeitrag Q1/2026;Allianz Versicherung;DE99887766554433221100;ALLIDEFXXX;VS-2026-Q1;SEPA-67890;TRX20260212001
19.02.2026;20.02.2026;-2100,00;Materiallieferung Bestellung B-023;Schmidt GmbH;DE55443322116677889900;GENODED1XXX;LI-2026-023;;TRX20260219001
26.02.2026;27.02.2026;1800,00;Teilzahlung Projekt A Rate 2;Projekt A GmbH;DE66778899001122334455;COBADEFFXXX;PR-A-003;;TRX20260226001
05.03.2026;06.03.2026;-950,00;Energiekosten Maerz Strom Gas;Stadtwerke;DE44332211009988776655;MARKDEF1XXX;EN-2026-03;SEPA-11111;TRX20260305001
12.03.2026;13.03.2026;4500,00;Projektabschluss Rechnung 2025-102;Mueller KG;DE22334455667788990011;DRESDEFF;RE-2025-102;;TRX20260312001
19.03.2026;19.03.2026;-1200,00;Lohnzahlung Maerz KW12;Mitarbeiter;;DEUTDEFF;LN-2026-012;;TRX20260319001
